Experiment Name:,060326 Emily yeast plate GFP

Tube Name:,Sample ID:,Volume(μL):,All Events ,Cells Events,Singles Events,GFP+ Events,GFP+ Histogram Events,GFP Neg Histo Events,GFP+ vs red Events,All Events  % Total,Cells % Total,Singles % Total,GFP+ % Total,GFP+ Histogram % Total,GFP Neg Histo % Total,GFP+ vs red % Total,All Events  % Parent,Cells % Parent,Singles % Parent,GFP+ % Parent,GFP+ Histogram % Parent,GFP Neg Histo % Parent,GFP+ vs red % Parent,All Events  Events/μL(V),Cells Events/μL(V),Singles Events/μL(V),GFP+ Events/μL(V),GFP+ Histogram Events/μL(V),GFP Neg Histo Events/μL(V),GFP+ vs red Events/μL(V),All Events  Median FITC-A,Cells Median FITC-A,Singles Median FITC-A,GFP+ Median FITC-A,GFP+ Histogram Median FITC-A,GFP Neg Histo Median FITC-A,GFP+ vs red Median FITC-A,All Events  GeoMean FITC-A,Cells GeoMean FITC-A,Singles GeoMean FITC-A,GFP+ GeoMean FITC-A,GFP+ Histogram GeoMean FITC-A,GFP Neg Histo GeoMean FITC-A,GFP+ vs red GeoMean FITC-A
19-Well-B12,,0.9,13100,10683,10000,4697,2513,7192,4938,100.00 %,81.55 %,76.34 %,35.85 %,19.18 %,54.90 %,37.69 %,100.00 %,81.55 %,93.61 %,46.97 %,25.13 %,71.92 %,49.38 %,13813.61,11264.95,10544.74,4952.87,2649.89,7583.78,5207.00,6008.3,8864.1,8232.3,20332.9,32308.9,4989.5,18721.4,4724.7,7278.8,6665.5,22378.5,36018.4,3629.9,20415.0
19-Well-C1,,1.0,10749,10628,10000,4595,2406,7287,4788,100.00 %,98.87 %,93.03 %,42.75 %,22.38 %,67.79 %,44.54 %,100.00 %,98.87 %,94.09 %,45.95 %,24.06 %,72.87 %,47.88 %,10523.38,10404.92,9790.10,4498.55,2355.50,7134.05,4687.50,8563.6,8502.8,7785.9,19774.2,31999.2,4696.2,18595.8,7012.9,6951.2,6372.7,22043.2,35486.6,3536.6,20249.3
19-Well-C2,,5.6,25897,10105,10000,2021,493,9149,2053,100.00 %,39.02 %,38.61 %,7.80 %,1.90 %,35.33 %,7.93 %,100.00 %,39.02 %,98.96 %,20.21 %,4.93 %,91.49 %,20.53 %,4612.59,1799.83,1781.13,359.97,87.81,1629.55,365.67,120.5,2128.5,2073.3,13702.3,24696.4,1817.3,13605.7,319.0,2025.7,1996.3,14943.1,26522.6,1741.0,14480.4
19-Well-C3,,6.7,12792,10092,10000,2007,464,9214,2083,100.00 %,78.89 %,78.17 %,15.69 %,3.63 %,72.03 %,16.28 %,100.00 %,78.89 %,99.09 %,20.07 %,4.64 %,92.14 %,20.83 %,1920.46,1515.11,1501.29,301.31,69.66,1383.29,312.72,885.5,2200.7,2152.2,13868.4,24065.8,1893.1,13626.1,1237.7,2032.9,2002.3,14868.5,25855.7,1765.0,14307.8
19-Well-C4,,9.5,10961,10095,10000,2014,492,9164,2103,100.00 %,92.10 %,91.23 %,18.37 %,4.49 %,83.61 %,19.19 %,100.00 %,92.10 %,99.06 %,20.14 %,4.92 %,91.64 %,21.03 %,1151.61,1060.63,1050.65,211.60,51.69,962.81,220.95,1532.9,2080.2,2036.1,13942.2,24405.3,1784.3,13672.3,1697.2,1993.9,1964.5,15098.5,26714.5,1710.6,14491.5
19-Well-C5,,7.5,10834,10081,10000,1990,468,9206,2035,100.00 %,93.05 %,92.30 %,18.37 %,4.32 %,84.97 %,18.78 %,100.00 %,93.05 %,99.20 %,19.90 %,4.68 %,92.06 %,20.35 %,1446.07,1345.56,1334.75,265.61,62.47,1228.77,271.62,1604.8,2067.4,2035.8,13817.6,23907.4,1834.7,13644.0,1703.0,1973.5,1951.3,14850.3,25584.6,1724.6,14396.1
19-Well-C6,,6.9,10808,10089,10000,1972,466,9197,2010,100.00 %,93.35 %,92.52 %,18.25 %,4.31 %,85.09 %,18.60 %,100.00 %,93.35 %,99.12 %,19.72 %,4.66 %,91.97 %,20.10 %,1574.81,1470.04,1457.07,287.34,67.90,1340.07,292.87,1693.9,2173.6,2112.5,13634.8,24258.3,1859.7,13535.7,1742.2,1995.4,1964.6,14862.3,25879.6,1722.8,14400.6
19-Well-C7,,3.8,10518,10205,10000,4591,2479,7170,4723,100.00 %,97.02 %,95.08 %,43.65 %,23.57 %,68.17 %,44.90 %,100.00 %,97.02 %,97.99 %,45.91 %,24.79 %,71.70 %,47.23 %,2742.05,2660.45,2607.01,1196.88,646.28,1869.23,1231.29,7495.2,7900.2,7668.3,20609.0,33668.6,4161.5,19487.3,5362.1,5741.0,5550.3,23238.4,38005.7,2800.7,21784.5
19-Well-C8,,20.6,11905,10102,10000,3802,1971,7573,3946,100.00 %,84.86 %,84.00 %,31.94 %,16.56 %,63.61 %,33.15 %,100.00 %,84.86 %,98.99 %,38.02 %,19.71 %,75.73 %,39.46 %,578.05,490.51,485.55,184.61,95.70,367.71,191.60,3280.7,5344.8,5238.4,19630.3,34015.3,3069.5,18548.7,2727.9,4039.4,3956.9,22626.4,37977.0,2204.7,21113.7
19-Well-C9,,13.6,10886,10135,10000,3972,2109,7495,4132,100.00 %,93.10 %,91.86 %,36.49 %,19.37 %,68.85 %,37.96 %,100.00 %,93.10 %,98.67 %,39.72 %,21.09 %,74.95 %,41.32 %,801.49,746.20,736.26,292.44,155.28,551.83,304.22,4970.1,5969.7,5835.0,20175.3,33432.3,2988.0,18991.3,3528.7,4194.7,4073.2,22644.7,37286.8,2158.3,21157.2
